carrier_id,carrier_plan_id,zero_eighteen,nineteen_twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight,twenty_nine,thirty,thirty_one,thirty_two,thirty_three,thirty_four,thirty_five,thirty_six,thirty_seven,thirty_eight,thirty_nine,forty,forty_one,forty_two,forty_three,forty_four,forty_five,forty_six,forty_seven,forty_eight,forty_nine,fifty,fifty_one,fifty_two,fifty_three,fifty_four,fifty_five,fifty_six,fifty_seven,fifty_eight,fifty_nine,sixty,sixty_one,sixty_two,sixty_three,sixty_four,sixty_five_plus
12,9512,211.02,211.02,373.85,373.85,373.85,373.85,375.34,382.82,391.79,406.37,418.34,443.18,452.55,461.92,467.78,474.02,477.15,480.27,483.4,486.52,492.77,520.25,530.02,539.38,552.41,568.69,587.82,610.62,636.27,665.58,694.48,816.07,852.17,891.92,932.13,975.54,1018.95,1066.01,1113.53,1164.25,1189.38,1240.1,1283.96,1312.75,1348.85,1370.78,1370.78
12,9513,199.22,199.22,352.95,352.95,352.95,352.95,354.36,361.42,369.89,383.66,394.95,418.4,427.25,436.1,441.63,447.53,450.47,453.42,456.37,459.32,465.22,491.17,500.39,509.23,521.53,536.9,554.96,576.49,600.7,628.37,655.66,770.45,804.53,842.06,880.02,921,961.99,1006.42,1051.28,1099.17,1122.89,1170.78,1212.19,1239.37,1273.44,1294.14,1294.14
12,9514,148.07,148.07,262.34,262.34,262.34,262.34,263.39,268.63,274.93,285.16,293.55,310.99,317.56,324.14,328.25,332.63,334.82,337.01,339.21,341.4,345.78,365.07,371.92,378.49,387.63,399.06,412.49,428.48,446.48,467.05,487.33,572.65,597.98,625.88,654.09,684.55,715.01,748.04,781.38,816.97,834.61,870.2,900.98,921.18,946.51,961.89,961.89
12,9515,243.89,243.89,432.09,432.09,432.09,432.09,433.81,442.46,452.83,469.68,483.5,512.21,523.04,533.88,540.65,547.87,551.48,555.09,558.7,562.31,569.53,601.29,612.58,623.4,638.46,657.28,679.39,705.74,735.38,769.26,802.66,943.2,984.92,1030.86,1077.33,1127.5,1177.67,1232.07,1286.99,1345.61,1374.66,1433.28,1483.98,1517.25,1558.97,1584.32,1584.32
12,9516,242.69,242.69,429.97,429.97,429.97,429.97,431.69,440.29,450.61,467.37,481.13,509.7,520.48,531.26,537.99,545.18,548.77,552.36,555.96,559.55,566.73,598.34,609.58,620.35,635.33,654.06,676.06,702.28,731.77,765.48,798.73,938.57,980.09,1025.81,1072.05,1121.97,1171.9,1226.03,1280.68,1339.01,1367.92,1426.25,1476.7,1509.8,1551.32,1576.53,1576.53
12,9517,236.22,236.22,418.5,418.5,418.5,418.5,420.17,428.54,438.59,454.91,468.3,496.11,506.6,517.09,523.65,530.64,534.14,537.63,541.13,544.63,551.62,582.39,593.32,603.8,618.39,636.61,658.03,683.55,712.26,745.07,777.43,913.54,953.95,998.45,1043.46,1092.05,1140.65,1193.33,1246.53,1303.3,1331.44,1388.21,1437.32,1469.54,1509.95,1534.5,1534.5
12,9518,211.27,211.27,374.29,374.29,374.29,374.29,375.79,383.27,392.26,406.85,418.83,443.7,453.08,462.46,468.33,474.58,477.71,480.84,483.97,487.09,493.35,520.86,530.64,540.02,553.06,569.36,588.52,611.34,637.02,666.36,695.3,817.03,853.17,892.97,933.23,976.69,1020.15,1067.27,1114.84,1165.62,1190.78,1241.56,1285.48,1314.3,1350.44,1372.4,1372.4
12,9519,299.54,299.54,530.67,530.67,530.67,530.67,532.8,543.41,556.15,576.84,593.83,629.09,642.39,655.69,664,672.87,677.31,681.74,686.17,690.61,699.48,738.49,752.36,765.65,784.14,807.25,834.41,866.77,903.17,944.78,985.81,1158.4,1209.64,1266.07,1323.15,1384.77,1446.38,1513.19,1580.64,1652.64,1688.31,1760.31,1822.57,1863.44,1914.68,1945.8,1945.8
12,9520,286.35,286.35,507.31,507.31,507.31,507.31,509.34,519.49,531.67,551.45,567.68,601.39,614.11,626.83,634.77,643.25,647.49,651.73,655.97,660.21,668.68,705.98,719.24,731.94,749.62,771.71,797.68,828.61,863.41,903.19,942.41,1107.41,1156.39,1210.34,1264.9,1323.81,1382.71,1446.58,1511.06,1579.89,1613.99,1682.82,1742.34,1781.4,1830.39,1860.15,1860.15
12,9521,208.91,208.91,370.12,370.12,370.12,370.12,371.61,379.01,387.89,402.33,414.17,438.76,448.04,457.32,463.12,469.3,472.39,475.49,478.58,481.67,487.86,515.07,524.74,534.01,546.9,563.03,581.97,604.54,629.93,658.95,687.56,807.94,843.68,883.04,922.84,965.82,1008.8,1055.39,1102.44,1152.65,1177.53,1227.75,1271.17,1299.67,1335.41,1357.11,1357.11
